"drugid"	"smiles"
"DB01122"	"CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl"
"DB01125"	"COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O"
"DB01209"	"[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N"
"DB01213"	"CC1=CNN=C1"
"DB01216"	"[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C"
"DB01227"	"CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1"
"DB01228"	"COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCCN1C"
"DB01230"	"NC1=NC(=O)C(O1)C1=CC=CC=C1"
"DB01231"	"OC(CCCN1CCCCC1)(C1=CC=CC=C1)C1=CC=CC=C1"
"DB01237"	"CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1"
"DB01243"	"OC1=C(Cl)C=C(Cl)C2=C1N=CC=C2"
"DB00230"	"CC(C)C[C@H](CN)CC(O)=O"
"DB00231"	"CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1"
"DB00248"	"[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC"
"DB00255"	"CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1"
"DB00273"	"[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2"
"DB00279"	"N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O"
"DB00313"	"CCCC(CCC)C(O)=O"
"DB00315"	"CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=O)N3)C=C12"
"DB00382"	"NC1=C2CCCCC2=NC2=CC=CC=C12"
"DB00391"	"CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O"
"DB00395"	"CCCC(C)(COC(N)=O)COC(=O)NC(C)C"
"DB00397"	"C[C@@H](N)[C@@H](O)C1=CC=CC=C1"
"DB00402"	"CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1"
"DB00404"	"CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12"
"DB00405"	"CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1"
"DB00411"	"[Cl-].C[N+](C)(C)CCOC(N)=O"
