"umlsid"	"parent_id"
"C0013369"	"meddra:10012742"
"C0013369"	"meddra:10017968"
"C0013369"	"meddra:10017967"
"C0013369"	"meddra:10021879"
"C0013369"	"meddra:10017966"
"C0013369"	"meddra:10017947"
"C0013369"	"meddra:10021881"
"C0013369"	"meddra:10021907"
"C0013369"	"meddra:10021908"
"C0013369"	"meddra:10051402"
"C0013369"	"meddra:10022678"
"C0013369"	"meddra:10055411"
"C0013369"	"meddra:10013991"
"C0013369"	"meddra:10013898"
"C0017411"	"meddra:10061176"
"C0017411"	"meddra:10027696"
"C0017411"	"meddra:10038612"
"C0017411"	"meddra:10038604"
"C0017411"	"meddra:10045787"
"C0017411"	"meddra:10018144"
"C0242698"	"ndfrt:N0000003826"
"C0242698"	"ndfrt:N0000003849"
"C0242698"	"ndfrt:N0000001432"
"C0242698"	"ndfrt:N0000000689"
"C0242698"	"ndfrt:N0000000004"
"C0001818"	"ndfrt:N0000000340"
"C0001818"	"ndfrt:N0000000435"
"C0001818"	"ndfrt:N0000000538"
"C0001818"	"ndfrt:N0000000006"
"C0001818"	"ndfrt:N0000000004"
"C0008513"	"ndfrt:N0000000776"
"C0008513"	"ndfrt:N0000000780"
"C0008513"	"ndfrt:N0000003343"
"C0008513"	"ndfrt:N0000003097"
"C0008513"	"ndfrt:N0000001181"
"C0008513"	"ndfrt:N0000000004"
"C0010043"	"ndfrt:N0000000854"
"C0010043"	"ndfrt:N0000003323"
"C0010043"	"ndfrt:N0000001181"
"C0010043"	"ndfrt:N0000000004"
"C0011884"	"ndfrt:N0000000959"
"C0011884"	"ndfrt:N0000000955"
"C0011884"	"ndfrt:N0000011126"
"C0011884"	"ndfrt:N0000000950"
"C0011884"	"ndfrt:N0000001099"
"C0011884"	"ndfrt:N0000000004"
"C0026636"	"ndfrt:N0000002036"
"C0026636"	"ndfrt:N0000002034"
"C0026636"	"ndfrt:N0000000004"
"C0032533"	"ndfrt:N0000002455"
"C0032533"	"ndfrt:N0000002064"
"C0032533"	"ndfrt:N0000002067"
"C0032533"	"ndfrt:N0000000004"
"C0042376"	"ndfrt:N0000003112"
"C0042376"	"ndfrt:N0000000730"
"C0042376"	"ndfrt:N0000000605"
"C0042376"	"ndfrt:N0000000709"
"C0042376"	"ndfrt:N0000002159"
"C0042376"	"ndfrt:N0000000004"
"C0085136"	"ndfrt:N0000003434"
"C0085136"	"ndfrt:N0000002160"
"C0085136"	"ndfrt:N0000002130"
"C0085136"	"ndfrt:N0000002128"
"C0085136"	"ndfrt:N0000000004"
"C0085681"	"ndfrt:N0000181045"
"C0085681"	"ndfrt:N0000002395"
"C0085681"	"ndfrt:N0000002004"
"C0085681"	"ndfrt:N0000002197"
"C0085681"	"ndfrt:N0000000004"
"C0600260"	"ndfrt:N0000001881"
"C0600260"	"ndfrt:N0000001879"
"C0600260"	"ndfrt:N0000002602"
"C0600260"	"ndfrt:N0000000004"
"C0010418"	"ndfrt:N0000000882"
"C0010418"	"ndfrt:N0000000801"
"C0010418"	"ndfrt:N0000002508"
"C0010418"	"ndfrt:N0000002319"
"C0010418"	"ndfrt:N0000000007"
"C0010418"	"ndfrt:N0000000004"
"C0013369"	"ndfrt:N0000001016"
"C0013369"	"ndfrt:N0000001317"
"C0013369"	"ndfrt:N0000001320"
"C0013369"	"ndfrt:N0000000973"
"C0013369"	"ndfrt:N0000000004"
"C0017411"	"ndfrt:N0000001323"
"C0017411"	"ndfrt:N0000181236"
"C0017411"	"ndfrt:N0000001224"
"C0017411"	"ndfrt:N0000000004"
"C0017668"	"meddra:10067757"
"C0017668"	"meddra:10018365"
"C0017668"	"meddra:10029149"
"C0017668"	"meddra:10038359"
"C0017668"	"meddra:10016832"
"C0017668"	"meddra:10065581"
