dbid,atc_label
DB00741,A07EA02
DB00741,S02BA01
DB00741,R01AD60
DB00741,H02AB09
DB00741,D07CA01
DB00741,S03CA04
DB00741,C05AA01
DB00398,L01XE05
DB00401,C08CA07
DB00405,R06AB06
DB00405,R06AB56
DB00412,A10BD04
DB00412,A10BD03
DB00412,A10BG02
DB00427,R06AX07
DB00434,R06AX02
DB00441,L01BC05
DB00444,L01CB02
DB00448,A02BC03
DB00448,A02BD02
DB00448,A02BD07
DB00448,A02BD09
DB00448,A02BD10
DB00448,A02BD03
DB00448,A02BC53
DB00455,R06AX13
DB00458,N06AA02
DB01151,N06AA01
DB00469,M01AC02
DB00489,C07AA07
DB00489,C07BA07
DB00489,C07FX02
DB00492,C09BA09
DB00492,C09AA09
DB00495,J05AR05
DB00495,J05AR04
DB00495,J05AF01
DB00495,J05AR01
DB00497,N02AJ17
DB00497,N02AA56
DB00497,N02AA05
DB00497,N02AA55
DB00497,N02AJ18
DB00497,N02AJ19
DB00498,B01AA02
DB00500,M01AB03
DB00500,M02AA21
DB00501,A02BA51
DB00501,A02BA01
DB00513,B02AA01
DB00519,C09AA10
DB00519,C09BB10
DB00521,S01ED55
DB00521,S01ED05
DB00521,C07AA15
DB00524,G01AE10
DB00524,C03EA12
DB00524,C03BA08
DB00527,D04AB02
DB00527,S01HA06
DB00527,S02DA04
DB00527,N01BB06
DB00527,C05AD04
DB00530,L01XE03
DB00541,L01CA02
DB00542,C09BA07
DB00542,C09AA07
DB00557,N05BB01
DB00557,N05BB51
DB00564,N03AF01
DB00776,N03AF02
DB00568,N07CA52
DB00568,N07CA02
DB00569,B01AX05
DB00570,L01CA01
DB00571,C07FX01
DB00571,C07AA05
DB00571,C07BA05
DB00573,M01AE04
DB00584,C09BB02
DB00584,C09BA02
DB00584,C09BB06
DB00584,C09AA02
DB00585,A02BA04
DB00598,C07BG01
DB00598,C07CG01
DB00598,C07AG01
DB00612,C07FB07
DB00612,C07FX04
DB00612,C07BB07
DB00612,C07AB07
DB00612,C09BX02
DB00619,L01XE01
DB00625,J05AR06
DB00625,J05AR11
DB00625,J05AG03
DB00627,C10BA01
DB00627,C10AD02
DB00627,C10AD52
DB00627,C04AC01
DB02701,A11HA01
DB00635,A07EA03
DB00635,H02AB07
DB00860,S01CA02
DB00860,D07AA03
DB00860,D07XA02
DB00860,A01AC54
DB00860,R01AD02
DB00860,S01BB02
DB00860,R01AD52
DB00860,S01CB02
DB00860,V03AB05
DB00860,S03BA02
DB00860,D07BA01
DB00860,D07CA03
DB00860,S01BA04
DB00860,S02BA03
DB00860,A07EA01
DB00860,H02AB06
DB00860,S02CA01
DB00860,C05AA04
DB00860,S03CA02
DB00637,R06AX11
DB00649,J05AR07
DB00649,J05AF04
DB00652,N02AD01
DB03175,D08AX03
DB03175,D08AX53
DB03255,C05BB05
DB03255,R02AA19
DB03255,N01BX03
DB03255,D08AE03
DB04573,G03CC06
DB04573,G03CA04
DB00661,C09BB10
DB00661,C08DA51
DB00661,C08DA01
DB00670,A02BX03
DB00675,L02BA01
DB00678,C09DB06
DB00678,C09CA01
DB00678,C09DA01
DB00682,B01AA03
DB01024,L04AA06
DB00691,C09AA13
DB00691,C09BA13
DB00695,G01AE10
DB00695,C03EB01
DB00695,C03CA01
DB00695,C03CB01
DB00704,N02AA56
DB00704,N07BB04
DB00704,A08AA62
DB00705,J05AG02
DB00709,J05AR05
DB00709,J05AR07
DB00709,J05AR12
DB00709,J05AR24
DB00709,J05AR11
DB00709,J05AR04
DB00709,J05AR01
DB00709,J05AR02
DB00709,J05AR13
DB00709,J05AR16
DB00709,J05AF05
DB00718,J05AF08
DB00719,R06AX09
DB00721,N01BA52
DB00721,C05AD05
DB00721,S01HA05
DB00721,N01BA02
DB00722,C10BX07
DB00722,C09BB03
DB00722,C09BA03
DB00722,C09AA03
DB00731,A10BX03
DB00736,A02BD06
DB00736,A02BC05
DB00736,M01AE52
DB00737,R06AE55
DB00737,R06AE05
DB00748,R06AA08
DB00750,N01BB54
DB00750,N01BB04
DB00751,S01GX10
DB00751,R06AX24
DB00758,B01AC04
DB00762,L01XX19
DB00768,S01GX09
DB00768,R01AC08
DB00773,L01CB01
DB00775,B01AC17
DB00777,N05CM06
DB00790,C09BB04
DB00790,C09BX01
DB00790,C10BX11
DB00790,C10BX14
DB00790,C09BX02
DB00790,C09BA04
DB00790,C10BX13
DB00790,C09AA04
DB00790,C10BX12
DB00790,C10BX15
DB00792,R06AC04
DB00792,D04AA04
DB00802,N01AH02
DB00812,M01BA01
DB00812,M01AA01
DB00812,M02AA01
DB00835,R06AB51
DB00835,R06AB01
DB00841,C01CA07
DB00844,N02AF02
DB00863,A02BA07
DB00863,A02BA02
DB00866,C07AA01
DB00876,C09DA02
DB00876,C09CA02
DB00879,J05AR09
DB00879,J05AR06
DB00879,J05AR03
DB00879,J05AR08
DB00879,J05AR19
DB00879,J05AR17
DB00879,J05AF09
DB00879,J05AR20
DB00879,J05AR22
DB00879,J05AR18
DB00881,C09AA06
DB00881,C09BA06
DB00900,J05AF02
DB00902,R06AD04
DB00907,S01HA01
DB00907,S02DA02
DB00907,N01BC01
DB00907,R02AD03
DB00908,C01BA01
DB00908,C01BA51
DB00908,C01BA71
DB00912,A10BD14
DB00912,A10BX02
DB01628,M01AH05
DB01283,M01AH06
DB01399,N02BA06
DB00920,S01GX08
DB00920,R06AX17
DB00921,N07BC01
DB00921,N07BC51
DB00921,N02AE01
DB00927,A02BA03
DB00927,A02BA53
DB00936,D01AE12
DB00936,N02BA04
DB00936,N02BA12
DB00936,S01BC08
DB00943,J05AF03
DB00946,B01AA04
DB00949,N03AX10
DB00950,R06AX26
DB00960,C07CA03
DB00960,C07AA03
DB00961,N01BB53
DB00961,N01BB03
DB00966,C09DB04
DB00966,C09CA07
DB00966,C09DA07
DB00967,R06AX27
DB00972,R06AX19
DB00972,S01GX07
DB00972,R01AC03
DB00975,B01AC07
DB00999,C09DX01
DB00999,C09BX03
DB00999,G01AE10
DB00999,C09DX03
DB00999,C09XA54
DB00999,C09DX06
DB00999,C03AX01
DB00999,C03AB03
DB00999,C03EA01
DB00999,C09XA52
